cold treatment	cold treatment	treatment
Coleoptile length	coleoptile length	length
'Colfiorito'	'Colfiorito'	'Colfiorito'
Colinearity	Colinearity	Colinearity
colinear rice region	colinear rice region	region
collection of crossable wheat progenies	collection of crossable wheat progeny	collection
collection of markers	collection of marker	collection
collection of SBCMV	collection of SBCMV	collection
combination of agronomic traits	combination of agronomic trait	combination
combinations of adult plant resistance genes	combination of adult plant resistance gene	combination
combination(s) of known HMW	combination(s) of known HMW	combination(s)
combined leaf rust resistance	combined leaf rust resistance	resistance
commercial cultivars	commercial cultivar	cultivar
commercial kit	commercial kit	kit
commercial wheat varieties	commercial wheat variety	variety
Commission	Commission	Commission
common ancestor	common ancestor	ancestor
common banding patterns	common band pattern	pattern
common bunt fungi	common bunt fungi	fungi
common bunt resistance	common bunt resistance	resistance
common bunt resistance gene	common bunt resistance gene	gene
common bunt resistant gene	common bunt resistant gene	gene
common bunt resistant genes	common bunt resistant gene	gene
common wheat chromosome 7A	common_wheat chromosome 7A	7A
common wheat cultivars	common_wheat cultivar	cultivar
common wheat germplasm WGRC2	common_wheat germplasm WGRC2	WGRC2
common wheat of a segment of Thinopyrum intermedium chromosome 7E	common_wheat of a segment of Thinopyrum_intermedium chromosome 7E	common_wheat
Comparative analysis	comparative analysis	analysis
Comparison	comparison	comparison
Comparison of a modified assay method	comparison of a modified assay method	comparison
Comparison of LMW glutenin gene sequences	comparison of LMW glutenin gene sequence	comparison
comparison of marker	comparison of marker	comparison
Comparison of SSR haplotypes	comparison of SSR haplotypes	comparison
competitive disadvantage	competitive disadvantage	disadvantage
Complet	Complet	Complet
complete chromosome 7A	complete chromosome 7A	7A
complete coding sequence	complete code sequence	sequence
complete cosegregation	complete cosegregation	cosegregation
complete dependence	complete dependence	dependence
complex inheritance of resistance	complex inheritance of resistance	inheritance
complexity	complexity	complexity
complex quantitative trait	complex quantitative trait	trait
complex trait	complex trait	trait
components of resistance	component of resistance	component
composition	composition	composition
compound repeat motifs	compound repeat motif	motif
compound SSR	compound SSR	SSR
computer alignment package	computer alignment package	package
computer assisted analysis	computer assist analysis	analysis
computer simulation	computer simulation	simulation
concentrated breeding efforts	concentrated breeding effort	effort
concept of association	concept of association	concept
concern	concern	concern
concerns	concern	concern
Conclusions	conclusion	conclusion
concomitant reduction	concomitant reduction	reduction
conditioning PPO activity	conditioning PPO activity	activity
confirmation of PCR positives	confirmation of PCR positive	confirmation
Confirmation of QTL mapping	confirmation of QTL mapping	confirmation
confirmed presence of LHO	confirm presence of LHO	presence
conidiospores	conidiospores	conidiospores
conjunction	conjunction	conjunction
consensus 5S intergenic spacer	consensus 5S intergenic spacer	spacer
conserved wheat housekeeping gene	conserve wheat housekeeping gene	gene
Considerable advances	considerable advance	advance
considerable amount of diversity	considerable amount of diversity	amount
considerable importance	considerable importance	importance
considerable improvements	considerable improvement	improvement
considerations	consideration	consideration
Consort	Consort	Consort
constructed physical map	construct physical map	map
construction of genetic linkage maps	construction of genetic linkage map	construction
construction of high density genome maps	construction of high density genome map	construction
contained pmi	contain pmi	pmi
contamination	contamination	contamination
contemporary cultivars	contemporary cultivar	cultivar
contemporary samples of hard winter	contemporary sample of hard winter	sample
context	context	context
contig	contig	contig
contigs	contigs	contigs
continuous variation	continuous variation	variation
contrast	contrast	contrast
Contributions of DNA molecular marker technologies	contribution of DNA molecular marker technology	contribution
control condition	control condition	condition
controlled conditions of Phytotron	control condition of Phytotron	condition
controlled environmental conditions	control environmental condition	condition
control of this disease	control of this disease	control
control varieties	control variety	variety
conventional breeding method	conventional breeding method	method
conventional breeding programs	conventional breeding program	program
conventional means	conventional mean	mean
conventional methods	conventional method	method
conventional PCR amplification	conventional PCR amplification	amplification
conventional phenotypic selection	conventional phenotypic selection	selection
conversion of a codominant microsatellite marker	conversion of a codominant microsatellite marker	conversion
conversion of these RAPD molecular markers to SCAR specific markers	conversion of these RAPD molecular marker to SCAR specific marker	conversion
cool months	cool month	month
copia	copia	copia
copy sequences	copy sequence	sequence
core	core	core
correct phenotype	correct phenotype	phenotype
correlation coefficients	correlation coefficient	coefficient
correlation	correlation	correlation
corresponding LDN	corresponding LDN	LDN
corresponding molecular markers	corresponding molecular marker	marker
cosegregated	cosegregated	cosegregated
Coss	Coss	Coss
cost efficiency	cost efficiency	efficiency
costs of marker development	cost of marker development	cost
countries	country	country
coupling phase	coupling phase	phase
course of a backcross programme	course of a backcross programme	course
Courtot	Courtot	Courtot
Covariation	Covariation	Covariation
CPS	CPS	CPS
Cre3 gene of wheat	Cre3 gene of wheat	gene
CreX	CreX	CreX
CreY	CreY	CreY
CreY gene	CreY gene	gene
CreY single introgression lines	CreY single introgression line	line
critical enzyme	critical enzyme	enzyme
critical primer	critical primer	primer
critical T. monococcum chromosome	critical T._monococcum chromosome	chromosome
CRL	CRL	CRL
crop	crop	crop
crop genomes	crop genome	genome
crops	crop	crop
cross '2137'	cross '2137'	'2137'
Crossability Gene SKr	Crossability Gene SKr	SKr
crossable cultivar Courtot	crossable cultivar Courtot	Courtot
crossable line MP98	crossable line MP98	MP98
cross 'Chancellor'	cross 'Chancellor'	'Chancellor'
cross Chinese Spring (susceptible)X Chiyacao	cross Chinese spring (susceptible)X Chiyacao	Chiyacao
cross Chuanmai	cross Chuanmai	Chuanmai
cross CMS	cross CMS	CMS
cross CS	cross CS	CS
crossed kith related species	cross kith related species	species
crosses	crosse	crosse
Crosses	crosse	crosse
cross 'Lalbahadur'	cross 'Lalbahadur'	'Lalbahadur'
cross methodology	cross methodology	methodology
cross methods	cross method	method
cross of susceptible 'Avocet S'	cross of susceptible 'Avocet S'	cross
cross of 'USG 3209'	cross of 'USG 3209'	cross
cross PH82	cross PH82	PH82
cross Pm18	cross Pm18	Pm18
cross 'RE9001'	cross 'RE9001'	'RE9001'
cross Zhongyou	cross Zhongyou	Zhongyou
CS	CS	CS
CTAB extraction	CTAB extraction	extraction
CTA	CTA	CTA
Ct	Ct	Ct
C+T	C+T	C+T
cultivar Alka	cultivar Alka	Alka
cultivar Chinese Spring	cultivar Chinese Spring	Spring
cultivar 'Massey'	cultivar 'Massey'	'Massey'
cultivar PBW343	cultivar PBW343	PBW343
Cultivars Corsaire	cultivar Corsaire	Corsaire
cultivars 'Courtot'	cultivar 'Courtot'	'Courtot'
cultivars of rye	cultivar of rye	cultivar
cultivars of Triticum durum Desf.	cultivar of Triticum_durum_Desf.	cultivar
cultivars of Triticum durum Desf	cultivar of Triticum_durum Desf	cultivar
cultivars showed evidence	cultivar show evidence	evidence
Cultivars Siria	cultivar Siria	Siria
Cultivar Sumai	cultivar Sumai	Sumai
cultivar wheat quality assessment	cultivar wheat quality assessment	assessment
cultivation of resistant wheat cultivars	cultivation of resistant wheat cultivar	cultivation
cultivation of wheat varieties	cultivation of wheat variety	cultivation
Cunningham	Cunningham	Cunningham
Current efforts	current effort	effort
current knowledge	current knowledge	knowledge
current state of molecular marker technologies	current state of molecular marker technology	state
current wheat populations	current wheat population	population
curve analysis	curve analysis	analysis
cv. 'Onokhoiskaya	cv. 'Onokhoiskaya	'Onokhoiskaya
cycle of late direct selection	cycle of late direct selection	cycle
CYS	CYS	CYS
cysteine	cysteine	cysteine
cysteine residues	cysteine residue	residue
cytogenetical data	cytogenetical datum	datum
Czech Republic	Czech Republic	Republic
D04	D04	D04
D1b allele	D1b allele	allele
D1b genotype	D1b genotype	genotype
D1b genotypes	D1b genotype	genotype
D1b marker	D1b marker	marker
D1c	D1c	D1c
D1 complex locus	D1 complex locus	locus
D1d allele	D1d allele	allele
D1 gene	D1 gene	gene
D1 genes	D1 gene	gene
D1 HMWx5 carrier genotypes	D1 HMWx5 carrier genotype	genotype
D1 HMWx5+y10 pair	D1 HMWx5+y10 pair	pair
D1 locus	D1 locus	locus
D1 protein	D1 protein	protein
damaged wheat production	damage wheat production	production
Danis	Danis	Danis
Darab	Darab	Darab
DArT	Dart	Dart
days	day	day
dCAPS analysis	dCAPS analysis	analysis
dCAPS marker	dCAPS marker	marker
D concentration	D concentration	concentration
D concentrations	D concentration	concentration
De198	De198	De198
decamer primers	decamer primer	primer
deeper seed placement	deep seed placement	placement
Deighton	Deighton	Deighton
deleterious effects	deleterious effect	effect
deletion bin 3BS	deletion bin 3BS	3BS
deletion bin 5BL	deletion bin 5BL	5BL
deletion bin	deletion bin	bin
deletion bin spans	deletion bin span	span
deletion events	deletion event	event
deletion region	deletion region	region
deletion region of Pina	deletion region of Pina	region
demonstrated high association	demonstrate high association	association
Dendrograms	Dendrograms	Dendrograms
density map	density map	map
deoxynivalenol	deoxynivalenol	deoxynivalenol
department of agriculture	department of agriculture	department
deployment of marker	deployment of marker	deployment
deployment of transgenes	deployment of transgene	deployment
derivative of 'Massey'	derivative of 'Massey'	derivative
derived gene Lr19	derive gene Lr19	Lr19
derived gene Lr24	derive gene Lr24	Lr24
derived leaf rust resistance gene Lr28	derive leaf rust resistance gene Lr28	Lr28
derived line	derive line	line
derived mapping population	derive mapping population	population
derived markers delineated Tsn1	derive marker delineate Tsn1	Tsn1
derived population	derive population	population
derived powdery mildew resistance alleles	derive powdery mildew resistance allele	allele
derived powdery mildew resistance Pm8	derive powdery mildew resistance Pm8	Pm8
derived progeny	derive progeny	progeny
derived resistance genes	derive resistance gene	gene
derived resistance to BYDV	derive resistance to BYDV	resistance
derived simple sequence repeat	derive simple sequence repeat	repeat
derived SNP marker polymorphism	derive SNP marker polymorphism	polymorphism
derived SNP markers	derive SNP marker	marker
derived SSR markers	derive SSR marker	marker
descendants	descendant	descendant
designated ABCT	designate ABCT	ABCT
designated Fhbl	designate Fhbl	Fhbl
designated Glu	designate Glu	Glu
Designated leaf rust resistance genes	designate leaf rust resistance gene	gene
designated YrMoro	designate YrMoro	YrMoro
designation	designation	designation
design of SNP	design of SNP	design
desirable alleles of Lr24	desirable allele of Lr24	allele
desirable background	desirable background	background
desirable PHST QTL	desirable PHST QTL	QTL
desirable plant type	desirable plant type	type
desirable traits	desirable trait	trait
desired genes	desire gene	gene
desired resistance genes	desire resistance gene	gene
desired solution	desire solution	solution
desired texture	desire texture	texture
desired trait	desire trait	trait
destination	destination	destination
destructive disease of wheat	destructive disease of wheat	disease
destructive diseases of cereals	destructive disease of cereal	disease
destructive PCR	destructive PCR	PCR
detailed economic analysis	detailed economic analysis	analysis
detailed understanding	detailed understanding	understanding
detected polymorphism	detect polymorphism	polymorphism
detected SNP	detect SNP	SNP
Detection	detection	detection
detection limit	detection limit	limit
detection methods	detection method	method
detection of marker heterogeneity	detection of marker heterogeneity	detection
detection of microvariation	detection of microvariation	detection
detection of polymorphism of prolamin kernel proteins	detection of polymorphism of prolamin kernel protein	detection
detection of recombination	detection of recombination	detection
Detection of single nucleotide polymorphism	detection of single nucleotide polymorphism	detection
